full_name,events,jpar_rank,system_rank,jpar,system,rank_delta_vs_jpar
Sammy Bosshardt,1,683,33,1.5569961106442387,weighted_log_zscore,-650.0
Jessica Anderson,1,1060,419,2.3704994616774857,msp_like_score,-641.0
Jennifer Holliday,1,831,190,1.8035328831419937,weighted_log_zscore,-641.0
Megan Heywood,1,1063,427,2.3833183023604336,msp_like_score,-636.0
Jamie Lim,6,432,1068,1.282545920430891,elo_rating,636.0
Britney Hartmann,1,905,269,1.9423774317298672,conservative_log_zscore,-636.0
Anna Morrissette,1,909,274,1.949474494736873,conservative_log_zscore,-635.0
Alissa Smith,1,709,75,1.603492673145346,conservative_log_zscore,-634.0
Jennifer Shah,1,853,220,1.835195738101289,weighted_log_zscore,-633.0
Stefanie Haney,5,374,1007,1.228424006257432,elo_rating,633.0
Maria Fernandez,1,885,254,1.8970422404246785,msp_like_score,-631.0
Rebecca Miller,1,976,346,2.1422254910542167,weighted_event_percentile,-630.0
Sammy Bosshardt,1,683,55,1.5569961106442387,conservative_log_zscore,-628.0
Joey Marshall,2,383,1010,1.2357900096608772,weighted_event_percentile,627.0
Marian Grocholski,1,845,218,1.8294201109124049,msp_like_score,-627.0
Robin Decaire,1,641,15,1.5001416931058258,msp_like_score,-626.0
Robin Decaire,1,641,15,1.5001416931058258,weighted_event_percentile,-626.0
Kimberly Valentine,1,350,975,1.1995073891625616,trueskill_conservative,625.0
Andrea Smith,2,37,661,0.8019285804437069,weighted_event_percentile,624.0
Alexa Lawrie,1,677,55,1.5510632764928716,msp_like_score,-622.0
Jenevieve Parker,8,457,1078,1.3051268802259002,elo_rating,621.0
Lauren O'Keefe,1,1025,407,2.288802819759332,msp_like_score,-618.0
Edwin Salazar,1,1028,411,2.302222848750902,msp_like_score,-617.0
Joanne Johnson,2,523,1139,1.3640361709313686,elo_rating,616.0
Lauren Mecca,4,579,1194,1.416790222786584,elo_rating,615.0
Kelsey Ruggaard,1,1106,491,2.596355645915879,weighted_log_zscore,-615.0
Robin Decaire,1,641,30,1.5001416931058258,weighted_log_zscore,-611.0
Phoebe Wood,1,1032,421,2.315137960642194,msp_like_score,-611.0
Jessica Norman,1,1048,440,2.351383597240335,msp_like_score,-608.0
Isabelle Petrucci,1,1041,434,2.335552169760687,msp_like_score,-607.0
Yasmeen Almog,2,24,630,0.7684316476906261,msp_like_score,606.0
Rebecca Wulfsohn,1,1047,443,2.3497171311898457,msp_like_score,-604.0
Patrick Madigan,1,997,394,2.2181710826032193,elo_rating,-603.0
Rebecca Bertagnoli,1,1031,428,2.3065454772768463,msp_like_score,-603.0
Angela Wald,1,1007,406,2.244776216517802,weighted_event_percentile,-601.0
Sarah Eggerichs,7,187,786,1.044263894309241,msp_like_score,599.0
Jane Stine,3,40,639,0.8105147388256693,weighted_event_percentile,599.0
Judy Moulder,1,891,293,1.9133237660035072,conservative_log_zscore,-598.0
June Huber,7,510,1108,1.3479524155987783,elo_rating,598.0
Allyson Longo,1,247,845,1.0998435870698644,conservative_log_zscore,598.0
Jane Stine,3,40,637,0.8105147388256693,msp_like_score,597.0
Su Ahn,1,188,784,1.0443169968717414,conservative_log_zscore,596.0
Tanya Smith,1,264,859,1.113660062565172,conservative_log_zscore,595.0
Nicole Kennedy,1,258,853,1.110140771637122,conservative_log_zscore,595.0
Katherine Kwan,1,958,363,2.094331208952368,weighted_event_percentile,-595.0
Christian Cimaglia,2,817,223,1.7727299024506702,elo_rating,-594.0
Michelle Gonzalez,1,184,778,1.04118873826903,conservative_log_zscore,594.0
Yasmeen Almog,2,24,618,0.7684316476906261,weighted_log_zscore,594.0
Felisa Lewis,8,278,871,1.128414611847196,msp_like_score,593.0
Daniela Spano,5,578,1170,1.4154400550758148,elo_rating,592.0
Billy Weaver,1,116,707,0.964155370177268,conservative_log_zscore,591.0
Karen Gregory,1,116,707,0.964155370177268,conservative_log_zscore,591.0
Alyssa Rogowski,1,824,233,1.7882282752712646,elo_rating,-591.0
Robin Decaire,1,641,51,1.5001416931058258,conservative_log_zscore,-590.0
Angela Wald,1,1007,417,2.244776216517802,weighted_log_zscore,-590.0
Puja Wheeldon,1,924,334,1.991632719206728,msp_like_score,-590.0
Melissa Revelle,1,1018,428,2.2705028948697312,elo_rating,-590.0
Kimberly Valentine,1,350,939,1.1995073891625616,conservative_log_zscore,589.0
Nicole Dominguez,5,390,979,1.2437058041313411,elo_rating,589.0
Judy Moulder,1,891,302,1.9133237660035072,elo_rating,-589.0
Stephanie Owen,2,199,787,1.0570160198429184,msp_like_score,588.0
Alexa Lawrie,1,677,90,1.5510632764928716,weighted_log_zscore,-587.0
Mary Obelnicki,1,935,348,2.0073307135577916,msp_like_score,-587.0
Erin May,1,937,351,2.012563378341479,msp_like_score,-586.0
Katherine Sydor,2,26,611,0.7713438166470665,msp_like_score,585.0
Jennifer Luscher,2,120,703,0.9668916212633244,msp_like_score,583.0
Kacey Meaker,1,472,1055,1.3137465793335406,weighted_event_percentile,583.0
Sarah Rundell,1,385,967,1.2380032671499417,weighted_event_percentile,582.0
Julie Tejeda,1,366,947,1.2184768415425618,conservative_log_zscore,581.0
Colleen Campbell,1,103,684,0.9460375391032324,conservative_log_zscore,581.0
Leesa Webster,2,338,919,1.1877206802456637,elo_rating,581.0
Mary Beth Harris,3,133,714,0.9776095655092024,msp_like_score,581.0
Katelyn Squire,1,919,339,1.9781425036741511,trueskill_conservative,-580.0
Jamie Felicetti,1,1081,501,2.448891602777053,msp_like_score,-580.0
Alexa Lawrie,1,677,98,1.5510632764928716,weighted_event_percentile,-579.0
Katherine Sydor,2,26,604,0.7713438166470665,weighted_log_zscore,578.0
Jonathan Cluff,13,780,202,1.7096360578295184,elo_rating,-578.0
Yasmeen Almog,2,24,601,0.7684316476906261,conservative_log_zscore,577.0
Billy Weaver,1,116,693,0.964155370177268,trueskill_conservative,577.0
Jolanta Starr,2,171,748,1.0261266490177852,weighted_event_percentile,577.0
Rachel DiDonna,4,562,1137,1.4030074686524312,elo_rating,575.0
Kimberly Valentine,1,350,924,1.1995073891625616,weighted_log_zscore,574.0
Joanne Johnson,2,523,1096,1.3640361709313686,weighted_event_percentile,573.0
Lisa Peterson,1,1012,440,2.262032348206386,weighted_log_zscore,-572.0
Jill Gregerson,6,617,1188,1.460435665051713,elo_rating,571.0
Karen Gregory,1,116,687,0.964155370177268,trueskill_conservative,571.0
Stephanie Owen,2,199,770,1.0570160198429184,weighted_log_zscore,571.0
Lisa Peterson,1,1012,443,2.262032348206386,weighted_event_percentile,-569.0
Jamie Stewart,1,1068,500,2.398890274296907,weighted_event_percentile,-568.0
Julie Tejeda,1,366,933,1.2184768415425618,weighted_log_zscore,567.0
Su Ahn,1,188,755,1.0443169968717414,weighted_log_zscore,567.0
Katherine Sydor,2,26,592,0.7713438166470665,conservative_log_zscore,566.0
Katherine Kwan,1,958,392,2.094331208952368,weighted_log_zscore,-566.0
Jennifer Luscher,2,120,686,0.9668916212633244,weighted_log_zscore,566.0
Allyson Longo,1,247,812,1.0998435870698644,weighted_log_zscore,565.0
Tanya Smith,1,264,829,1.113660062565172,weighted_log_zscore,565.0
Nicole Kennedy,1,258,822,1.110140771637122,weighted_log_zscore,564.0
Jennifer Luscher,2,120,683,0.9668916212633244,conservative_log_zscore,563.0
Jonathan Cluff,13,780,217,1.7096360578295184,trueskill_conservative,-563.0
Colleen Campbell,1,103,666,0.9460375391032324,trueskill_conservative,563.0
Mindy McCoy,1,483,1046,1.3255652304020835,trueskill_conservative,563.0
Michelle Gonzalez,1,184,746,1.04118873826903,weighted_log_zscore,562.0
Rebecca Miller,1,976,414,2.1422254910542167,conservative_log_zscore,-562.0
Melissa McCarthy,7,421,982,1.2728661399557768,elo_rating,561.0
Anna Claire Bolton,1,567,7,1.4044266500552625,msp_like_score,-560.0
Jennifer Holliday,1,831,271,1.8035328831419937,conservative_log_zscore,-560.0
Billy Weaver,1,116,675,0.964155370177268,weighted_event_percentile,559.0
Jonathan Cluff,13,780,221,1.7096360578295184,conservative_log_zscore,-559.0
Lachlan Davidson,1,78,637,0.9094108446298228,trueskill_conservative,559.0
Karen Gregory,1,116,675,0.964155370177268,weighted_event_percentile,559.0
Jennifer Shah,1,853,294,1.835195738101289,conservative_log_zscore,-559.0
Jonathan Cluff,13,780,222,1.7096360578295184,weighted_event_percentile,-558.0
Megan Bangerter,1,852,295,1.833094217661583,elo_rating,-557.0
Su Ahn,1,188,745,1.0443169968717414,weighted_event_percentile,557.0
Stephanie Owen,2,199,755,1.0570160198429184,conservative_log_zscore,556.0
Juliane Cassidy,2,462,1017,1.3083688186248028,elo_rating,555.0
Tanya Smith,1,264,817,1.113660062565172,weighted_event_percentile,553.0
Kacey Meaker,1,472,1024,1.3137465793335406,conservative_log_zscore,552.0
Veronica Yang,1,349,901,1.1990132070934136,trueskill_conservative,552.0
